district,new_sex_trafficking_cases,new_sex_trafficking_defendants,new_forced_labor_cases,new_forced_labor_defendants,new_cases_outside_ch77,year
Alabama Middle,0,0,0,0,0,2020
Alabama Northern,0,0,0,0,1,2020
Alabama Southern,0,0,0,0,0,2020
Alaska,4,4,0,0,0,2020
Arizona,3,4,0,0,1,2020
Arkansas Eastern,4,4,0,0,0,2020
Arkansas Western,0,0,0,0,0,2020
California Central,3,5,0,0,2,2020
California Eastern,1,1,0,0,0,2020
California Northern,2,2,0,0,0,2020
California Southern,3,4,0,0,1,2020
Colorado,0,0,0,0,2,2020
Connecticut,1,2,0,0,0,2020
Delaware,0,0,0,0,0,2020
District of Columbia,0,0,0,0,0,2020
Florida Middle,5,5,0,0,0,2020
Florida Northern,3,5,0,0,9,2020
Florida Southern,4,5,0,0,3,2020
Georgia Middle,0,0,0,0,0,2020
Georgia Northern,1,1,0,0,1,2020
Georgia Southern,1,1,1,1,0,2020
Guam,0,0,0,0,0,2020
Hawaii,0,0,0,0,0,2020
Idaho,0,0,0,0,0,2020
Illinois Central,8,9,0,0,9,2020
Illinois Northern,4,5,2,5,1,2020
Illinois Southern,2,2,0,0,17,2020
Indiana Northern,1,1,0,0,0,2020
Indiana Southern,1,2,0,0,0,2020
Iowa Northern,0,0,0,0,0,2020
Iowa Southern,5,6,0,0,2,2020
Kansas,3,3,0,0,0,2020
Kentucky Eastern,1,1,0,0,0,2020
Kentucky Western,1,1,0,0,0,2020
Louisiana Eastern,0,0,0,0,1,2020
Louisiana Middle,0,0,0,0,0,2020
Louisiana Western,0,0,1,1,0,2020
Maine,0,0,0,0,0,2020
Maryland,4,4,0,0,0,2020
Massachusetts,4,5,0,0,1,2020
Michigan Eastern,5,6,0,0,1,2020
Michigan Western,0,0,0,0,0,2020
Minnesota,1,1,0,0,0,2020
Mississippi Northern,0,0,0,0,0,2020
Mississippi Southern,0,0,0,0,1,2020
Missouri Eastern,2,2,0,0,2,2020
Missouri Western,2,6,0,0,0,2020
Montana,2,6,0,0,0,2020
Nebraska,2,6,0,0,3,2020
Nevada,4,4,0,0,1,2020
New Hampshire,0,0,0,0,0,2020
New Jersey,0,0,0,0,1,2020
New Mexico,0,0,0,0,0,2020
New York Eastern,2,4,0,0,1,2020
New York Northern,1,1,0,0,3,2020
New York Southern,4,6,0,0,2,2020
New York Western,2,2,1,2,0,2020
North Carolina Eastern,1,1,0,0,0,2020
North Carolina Middle,0,0,0,0,0,2020
North Carolina Western,3,3,1,1,1,2020
North Dakota,0,0,0,0,0,2020
Northern Mariana Islands,0,0,0,0,0,2020
Ohio Northern,5,7,0,0,1,2020
Ohio Southern,3,15,0,0,3,2020
Oklahoma Eastern,0,0,0,0,0,2020
Oklahoma Northern,3,5,1,2,0,2020
Oklahoma Western,2,3,0,0,0,2020
Oregon,1,1,0,0,0,2020
Pennsylvania Eastern,1,10,0,0,0,2020
Pennsylvania Middle,3,3,0,0,0,2020
Pennsylvania Western,0,0,0,0,0,2020
Puerto Rico,1,1,0,0,3,2020
Rhode Island,0,0,0,0,1,2020
South Carolina,2,7,0,0,0,2020
South Dakota,2,2,0,0,1,2020
Tennessee Eastern,0,0,0,0,1,2020
Tennessee Middle,0,0,0,0,2,2020
Tennessee Western,0,0,0,0,0,2020
Texas Eastern,2,4,0,0,0,2020
Texas Northern,14,18,0,0,4,2020
Texas Southern,1,1,1,3,0,2020
Texas Western,2,3,0,0,4,2020
Utah,0,0,0,0,0,2020
Vermont,0,0,0,0,0,2020
Virginia Eastern,2,13,0,0,1,2020
Virginia Western,0,0,0,0,0,2020
Virgin Islands,0,0,0,0,1,2020
Washington Eastern,1,1,0,0,0,2020
Washington Western,2,2,0,0,2,2020
West Virginia Northern,0,0,0,0,0,2020
West Virginia Southern,4,4,0,0,1,2020
Wisconsin Eastern,4,10,0,0,0,2020
Wisconsin Western,2,2,0,0,0,2020
Wyoming,0,0,0,0,0,2020
Alabama Middle,1,3,0,0,0,2021
Alabama Northern,1,1,0,0,0,2021
Alabama Southern,0,0,0,0,0,2021
Alaska,0,0,0,0,0,2021
Arizona,3,5,0,0,0,2021
Arkansas Eastern,3,11,0,0,0,2021
Arkansas Western,0,0,0,0,0,2021
California Central,0,0,0,6,1,2021
California Eastern,1,1,0,0,3,2021
California Northern,1,1,0,0,0,2021
California Southern,5,6,0,0,0,2021
Colorado,0,0,0,0,0,2021
Connecticut,1,1,0,0,1,2021
Delaware,0,0,0,0,0,2021
District of Columbia,0,0,0,0,0,2021
Florida Middle,7,9,1,5,1,2021
Florida Northern,1,1,0,0,1,2021
Florida Southern,6,12,1,1,1,2021
Georgia Middle,1,3,0,0,0,2021
Georgia Northern,1,1,0,0,1,2021
Georgia Southern,1,1,3,26,0,2021
Guam,0,0,0,0,0,2021
Hawaii,0,0,0,0,0,2021
Idaho,0,0,0,0,1,2021
Illinois Central,2,2,0,0,6,2021
Illinois Northern,4,5,0,0,0,2021
Illinois Southern,7,7,0,0,10,2021
Indiana Northern,0,0,0,0,0,2021
Indiana Southern,0,0,0,0,1,2021
Iowa Northern,0,0,0,0,0,2021
Iowa Southern,3,3,1,2,1,2021
Kansas,0,0,1,8,2,2021
Kentucky Eastern,0,0,0,0,1,2021
Kentucky Western,0,0,0,0,0,2021
Louisiana Eastern,0,0,0,0,0,2021
Louisiana Middle,0,0,0,0,0,2021
Louisiana Western,2,3,0,0,0,2021
Maine,0,0,0,0,1,2021
Maryland,2,3,0,0,0,2021
Massachusetts,1,1,0,0,1,2021
Michigan Eastern,8,8,0,0,0,2021
Michigan Western,2,2,0,0,2,2021
Minnesota,1,2,0,0,1,2021
Mississippi Northern,0,0,0,0,0,2021
Mississippi Southern,1,1,0,0,0,2021
Missouri Eastern,0,0,0,0,0,2021
Missouri Western,1,1,0,0,0,2021
Montana,0,0,0,0,1,2021
Nebraska,7,10,0,0,6,2021
Nevada,1,1,0,0,1,2021
New Hampshire,1,1,0,0,0,2021
New Jersey,1,1,0,0,1,2021
New Mexico,0,0,0,0,0,2021
New York Eastern,4,10,0,0,2,2021
New York Northern,1,1,0,0,3,2021
New York Southern,2,3,0,0,2,2021
New York Western,1,1,0,0,0,2021
North Carolina Eastern,0,0,0,0,2,2021
North Carolina Middle,0,0,0,0,0,2021
North Carolina Western,0,0,0,0,1,2021
North Dakota,1,1,0,0,0,2021
Northern Mariana Islands,0,0,0,0,0,2021
Ohio Northern,2,2,0,0,3,2021
Ohio Southern,0,0,0,0,1,2021
Oklahoma Eastern,0,0,0,0,1,2021
Oklahoma Northern,0,0,0,0,1,2021
Oklahoma Western,0,0,0,0,3,2021
Oregon,0,0,0,0,0,2021
Pennsylvania Eastern,3,5,0,0,0,2021
Pennsylvania Middle,0,0,0,0,3,2021
Pennsylvania Western,2,2,0,0,1,2021
Puerto Rico,1,1,0,0,0,2021
Rhode Island,0,0,0,0,0,2021
South Carolina,4,13,1,3,1,2021
South Dakota,3,4,0,0,1,2021
Tennessee Eastern,0,0,0,0,0,2021
Tennessee Middle,0,0,0,0,0,2021
Tennessee Western,0,0,0,0,0,2021
Texas Eastern,1,5,0,0,0,2021
Texas Northern,7,10,0,0,3,2021
Texas Southern,5,21,1,2,3,2021
Texas Western,1,1,0,0,2,2021
Utah,0,0,0,0,1,2021
Vermont,0,0,0,0,0,2021
Virginia Eastern,3,4,0,0,2,2021
Virginia Western,1,1,0,0,0,2021
Virgin Islands,0,0,0,0,0,2021
Washington Eastern,2,3,0,0,0,2021
Washington Western,0,0,0,0,1,2021
West Virginia Northern,0,0,0,0,0,2021
