Year Month,State,Industry,Suspicious Activity,Regulator,Relationship,Product,Instrument,Count
2020,Alabama,Depository Institution,Human Trafficking,FDIC,Customer,Debit Card,Funds Transfer,1
2020,Alabama,Depository Institution,Human Trafficking,FDIC,Customer,Debit Card,Personal/Business Check,1
2020,Alabama,Depository Institution,Human Trafficking,FDIC,Customer,Debit Card,U.S. Currency,3
2020,Alabama,Depository Institution,Human Trafficking,FDIC,Customer,Debit Card,[Total],5
2020,Alabama,Depository Institution,Human Trafficking,FDIC,Customer,Deposit Account,Funds Transfer,5
2020,Alabama,Depository Institution,Human Trafficking,FDIC,Customer,Deposit Account,Personal/Business Check,5
2020,Alabama,Depository Institution,Human Trafficking,FDIC,Customer,Deposit Account,U.S. Currency,7
2020,Alabama,Depository Institution,Human Trafficking,FDIC,Customer,Deposit Account,[Total],17
2020,Alabama,Depository Institution,Human Trafficking,FDIC,Customer,[Total],[Total],22
2020,Alabama,Depository Institution,Human Trafficking,FDIC,[Total],[Total],[Total],22
2020,Alabama,Depository Institution,Human Trafficking,FRB,Customer,Debit Card,Funds Transfer,8
2020,Alabama,Depository Institution,Human Trafficking,FRB,Customer,Debit Card,Other,1
2020,Alabama,Depository Institution,Human Trafficking,FRB,Customer,Debit Card,Personal/Business Check,7
2020,Alabama,Depository Institution,Human Trafficking,FRB,Customer,Debit Card,U.S. Currency,8
2020,Alabama,Depository Institution,Human Trafficking,FRB,Customer,Debit Card,[Total],24
2020,Alabama,Depository Institution,Human Trafficking,FRB,Customer,Deposit Account,Bank/Cashier's Check,13
2020,Alabama,Depository Institution,Human Trafficking,FRB,Customer,Deposit Account,Funds Transfer,43
2020,Alabama,Depository Institution,Human Trafficking,FRB,Customer,Deposit Account,Government Payment,2
2020,Alabama,Depository Institution,Human Trafficking,FRB,Customer,Deposit Account,Money Orders,4
2020,Alabama,Depository Institution,Human Trafficking,FRB,Customer,Deposit Account,Other,1
2020,Alabama,Depository Institution,Human Trafficking,FRB,Customer,Deposit Account,Personal/Business Check,35
2020,Alabama,Depository Institution,Human Trafficking,FRB,Customer,Deposit Account,U.S. Currency,44
2020,Alabama,Depository Institution,Human Trafficking,FRB,Customer,Deposit Account,[Total],142
2020,Alabama,Depository Institution,Human Trafficking,FRB,Customer,Other,Personal/Business Check,1
2020,Alabama,Depository Institution,Human Trafficking,FRB,Customer,Other,[Total],1
2020,Alabama,Depository Institution,Human Trafficking,FRB,Customer,[Total],[Total],167
2020,Alabama,Depository Institution,Human Trafficking,FRB,No Relationship to Institution,Debit Card,Funds Transfer,3
2020,Alabama,Depository Institution,Human Trafficking,FRB,No Relationship to Institution,Debit Card,Personal/Business Check,3
2020,Alabama,Depository Institution,Human Trafficking,FRB,No Relationship to Institution,Debit Card,U.S. Currency,3
2020,Alabama,Depository Institution,Human Trafficking,FRB,No Relationship to Institution,Debit Card,[Total],9
2020,Alabama,Depository Institution,Human Trafficking,FRB,No Relationship to Institution,Deposit Account,Bank/Cashier's Check,4
2020,Alabama,Depository Institution,Human Trafficking,FRB,No Relationship to Institution,Deposit Account,Funds Transfer,159
2020,Alabama,Depository Institution,Human Trafficking,FRB,No Relationship to Institution,Deposit Account,Money Orders,2
2020,Alabama,Depository Institution,Human Trafficking,FRB,No Relationship to Institution,Deposit Account,Personal/Business Check,162
2020,Alabama,Depository Institution,Human Trafficking,FRB,No Relationship to Institution,Deposit Account,U.S. Currency,161
2020,Alabama,Depository Institution,Human Trafficking,FRB,No Relationship to Institution,Deposit Account,[Total],488
2020,Alabama,Depository Institution,Human Trafficking,FRB,No Relationship to Institution,Other,Personal/Business Check,3
2020,Alabama,Depository Institution,Human Trafficking,FRB,No Relationship to Institution,Other,[Total],3
2020,Alabama,Depository Institution,Human Trafficking,FRB,No Relationship to Institution,[Total],[Total],500
2020,Alabama,Depository Institution,Human Trafficking,FRB,[Total],[Total],[Total],667
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Borrower,Credit Card,Funds Transfer,1
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Borrower,Credit Card,U.S. Currency,1
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Borrower,Credit Card,[Total],2
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Borrower,Debit Card,Funds Transfer,1
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Borrower,Debit Card,U.S. Currency,1
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Borrower,Debit Card,[Total],2
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Borrower,Deposit Account,Funds Transfer,1
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Borrower,Deposit Account,U.S. Currency,1
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Borrower,Deposit Account,[Total],2
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Borrower,[Total],[Total],6
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Credit Card,Funds Transfer,1
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Credit Card,U.S. Currency,1
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Credit Card,[Total],2
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Debit Card,Bank/Cashier's Check,3
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Debit Card,Funds Transfer,6
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Debit Card,Personal/Business Check,3
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Debit Card,U.S. Currency,8
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Debit Card,[Total],20
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Deposit Account,Bank/Cashier's Check,3
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Deposit Account,Funds Transfer,7
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Deposit Account,Personal/Business Check,5
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Deposit Account,U.S. Currency,8
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Deposit Account,[Total],23
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Mutual Fund,Bank/Cashier's Check,3
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Mutual Fund,Funds Transfer,3
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Mutual Fund,Personal/Business Check,3
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Mutual Fund,U.S. Currency,3
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Mutual Fund,[Total],12
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Stocks,Bank/Cashier's Check,3
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Stocks,Funds Transfer,3
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Stocks,Personal/Business Check,3
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Stocks,U.S. Currency,3
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,Stocks,[Total],12
2020,Alabama,Depository Institution,Human Trafficking,NCUA,Customer,[Total],[Total],69
2020,Alabama,Depository Institution,Human Trafficking,NCUA,[Total],[Total],[Total],75
2020,Alabama,Depository Institution,Human Trafficking,[Total],[Total],[Total],[Total],764
2020,Alaska,Depository Institution,Human Trafficking,NCUA,Customer,Credit Card,Funds Transfer,3
2020,Alaska,Depository Institution,Human Trafficking,NCUA,Customer,Credit Card,U.S. Currency,3
2020,Alaska,Depository Institution,Human Trafficking,NCUA,Customer,Credit Card,[Total],6
2020,Alaska,Depository Institution,Human Trafficking,NCUA,Customer,Debit Card,Funds Transfer,3
2020,Alaska,Depository Institution,Human Trafficking,NCUA,Customer,Debit Card,U.S. Currency,3
2020,Alaska,Depository Institution,Human Trafficking,NCUA,Customer,Debit Card,[Total],6
2020,Alaska,Depository Institution,Human Trafficking,NCUA,Customer,Deposit Account,Funds Transfer,3
2020,Alaska,Depository Institution,Human Trafficking,NCUA,Customer,Deposit Account,U.S. Currency,3
2020,Alaska,Depository Institution,Human Trafficking,NCUA,Customer,Deposit Account,[Total],6
2020,Alaska,Depository Institution,Human Trafficking,NCUA,Customer,[Total],[Total],18
2020,Alaska,Depository Institution,Human Trafficking,NCUA,[Total],[Total],[Total],18
2020,Alaska,Depository Institution,Human Trafficking,[Total],[Total],[Total],[Total],18
2020,Arizona,Depository Institution,Human Trafficking,FDIC,Customer,Deposit Account,Funds Transfer,1
2020,Arizona,Depository Institution,Human Trafficking,FDIC,Customer,Deposit Account,U.S. Currency,1
2020,Arizona,Depository Institution,Human Trafficking,FDIC,Customer,Deposit Account,[Total],2
2020,Arizona,Depository Institution,Human Trafficking,FDIC,Customer,[Total],[Total],2
2020,Arizona,Depository Institution,Human Trafficking,FDIC,[Total],[Total],[Total],2
2020,Arizona,Depository Institution,Human Trafficking,FRB,Customer,Debit Card,Bank/Cashier's Check,3
2020,Arizona,Depository Institution,Human Trafficking,FRB,Customer,Debit Card,Funds Transfer,14
2020,Arizona,Depository Institution,Human Trafficking,FRB,Customer,Debit Card,Government Payment,2
2020,Arizona,Depository Institution,Human Trafficking,FRB,Customer,Debit Card,U.S. Currency,14
2020,Arizona,Depository Institution,Human Trafficking,FRB,Customer,Debit Card,[Total],33
2020,Arizona,Depository Institution,Human Trafficking,FRB,Customer,Deposit Account,Bank/Cashier's Check,4
2020,Arizona,Depository Institution,Human Trafficking,FRB,Customer,Deposit Account,Funds Transfer,17
2020,Arizona,Depository Institution,Human Trafficking,FRB,Customer,Deposit Account,Government Payment,2
2020,Arizona,Depository Institution,Human Trafficking,FRB,Customer,Deposit Account,Money Orders,1
2020,Arizona,Depository Institution,Human Trafficking,FRB,Customer,Deposit Account,Personal/Business Check,3
2020,Arizona,Depository Institution,Human Trafficking,FRB,Customer,Deposit Account,U.S. Currency,19
2020,Arizona,Depository Institution,Human Trafficking,FRB,Customer,Deposit Account,[Total],46
2020,Arizona,Depository Institution,Human Trafficking,FRB,Customer,[Total],[Total],79
2020,Arizona,Depository Institution,Human Trafficking,FRB,No Relationship to Institution,Debit Card,Bank/Cashier's Check,2
2020,Arizona,Depository Institution,Human Trafficking,FRB,No Relationship to Institution,Debit Card,Funds Transfer,2
2020,Arizona,Depository Institution,Human Trafficking,FRB,No Relationship to Institution,Debit Card,U.S. Currency,2
2020,Arizona,Depository Institution,Human Trafficking,FRB,No Relationship to Institution,Debit Card,[Total],6
2020,Arizona,Depository Institution,Human Trafficking,FRB,No Relationship to Institution,Deposit Account,Bank/Cashier's Check,5
2020,Arizona,Depository Institution,Human Trafficking,FRB,No Relationship to Institution,Deposit Account,Funds Transfer,5
2020,Arizona,Depository Institution,Human Trafficking,FRB,No Relationship to Institution,Deposit Account,Money Orders,3
