Year Month,State,Industry,Suspicious Activity,Count
2024,Alabama,Depository Institution,Human Trafficking,54
2024,Alaska,Depository Institution,Human Trafficking,11
2024,Arizona,Depository Institution,Human Trafficking,113
2024,Arkansas,Depository Institution,Human Trafficking,23
2024,California,Depository Institution,Human Trafficking,628
2024,Colorado,Depository Institution,Human Trafficking,92
2024,Connecticut,Depository Institution,Human Trafficking,53
2024,Delaware,Depository Institution,Human Trafficking,47
2024,District of Columbia,Depository Institution,Human Trafficking,24
2024,Florida,Depository Institution,Human Trafficking,377
2024,Georgia,Depository Institution,Human Trafficking,121
2024,Hawaii,Depository Institution,Human Trafficking,18
2024,Idaho,Depository Institution,Human Trafficking,17
2024,Illinois,Depository Institution,Human Trafficking,172
2024,Indiana,Depository Institution,Human Trafficking,60
2024,Iowa,Depository Institution,Human Trafficking,51
2024,Kansas,Depository Institution,Human Trafficking,39
2024,Kentucky,Depository Institution,Human Trafficking,43
2024,Louisiana,Depository Institution,Human Trafficking,64
2024,Maine,Depository Institution,Human Trafficking,15
2024,Maryland,Depository Institution,Human Trafficking,68
2024,Massachusetts,Depository Institution,Human Trafficking,104
2024,Michigan,Depository Institution,Human Trafficking,91
2024,Minnesota,Depository Institution,Human Trafficking,84
2024,Mississippi,Depository Institution,Human Trafficking,19
2024,Missouri,Depository Institution,Human Trafficking,46
2024,Montana,Depository Institution,Human Trafficking,11
2024,Nebraska,Depository Institution,Human Trafficking,50
2024,Nevada,Depository Institution,Human Trafficking,137
2024,New Hampshire,Depository Institution,Human Trafficking,17
2024,New Jersey,Depository Institution,Human Trafficking,141
2024,New Mexico,Depository Institution,Human Trafficking,37
2024,New York,Depository Institution,Human Trafficking,378
2024,North Carolina,Depository Institution,Human Trafficking,232
2024,North Dakota,Depository Institution,Human Trafficking,33
2024,Northern Mariana Islands,Depository Institution,Human Trafficking,1
2024,Ohio,Depository Institution,Human Trafficking,163
2024,Oklahoma,Depository Institution,Human Trafficking,61
2024,Oregon,Depository Institution,Human Trafficking,85
2024,Pennsylvania,Depository Institution,Human Trafficking,114
2024,Puerto Rico,Depository Institution,Human Trafficking,3
2024,Rhode Island,Depository Institution,Human Trafficking,27
2024,South Carolina,Depository Institution,Human Trafficking,100
2024,South Dakota,Depository Institution,Human Trafficking,27
2024,Tennessee,Depository Institution,Human Trafficking,58
2024,Texas,Depository Institution,Human Trafficking,489
2024,Utah,Depository Institution,Human Trafficking,205
2024,Vermont,Depository Institution,Human Trafficking,4
2024,Virgin Islands,Depository Institution,Human Trafficking,1
2024,Virginia,Depository Institution,Human Trafficking,178
2024,Washington,Depository Institution,Human Trafficking,174
2024,West Virginia,Depository Institution,Human Trafficking,88
2024,Wisconsin,Depository Institution,Human Trafficking,49
2024,Wyoming,Depository Institution,Human Trafficking,9
2024,[Total],Depository Institution,Human Trafficking,"5,306"
All Years [Total],[Total],Depository Institution,Human Trafficking,"5,306"
