State,Pop2020,Pop2021,Pop2022,Pop2023
Alabama,5032962,5050058,5076868,5117850
Alaska,732906,734590,733659,734654
Arizona,7186647,7274022,7370065,7452073
Arkansas,3014399,3027127,3047429,3069856
California,39527808,39152927,39125347,39181667
Colorado,5786873,5814368,5853355,5912240
Connecticut,3579643,3607765,3618707,3641369
Delaware,991890,1005130,1020279,1035354
District of Columbia,670958,669637,674501,682559
Florida,21591325,21836698,22413989,22929248
Georgia,10732595,10793038,10929992,11063669
Hawaii,1451130,1446909,1437812,1434950
Idaho,1849328,1904855,1942951,1970497
Illinois,12795348,12703354,12609577,12633389
Indiana,6790290,6814223,6841491,6881373
Iowa,3191081,3199037,3201890,3214739
Kansas,2938274,2938966,2938034,2949749
Kentucky,4508271,4508348,4521238,4549953
Louisiana,4652145,4628595,4600892,4598777
Maine,1364546,1379009,1391585,1401992
Maryland,6178387,6176035,6183257,6204927
Massachusetts,6985320,6996721,7025465,7073479
Michigan,10072294,10042362,10043906,10062124
Minnesota,5710562,5714055,5727565,5752998
Mississippi,2958385,2947603,2941237,2942470
Missouri,6155074,6172551,6179285,6205956
Montana,1087156,1106416,1121533,1130612
Nebraska,1963318,1964697,1972595,1988172
Nevada,3116851,3148472,3177672,3211077
New Hampshire,1378752,1387907,1396647,1401530
New Jersey,9270476,9266509,9298402,9395315
New Mexico,2118446,2117300,2112859,2119349
New York,20122262,19835345,19713025,19786543
North Carolina,10450215,10565503,10705768,10871849
North Dakota,779612,777977,780191,787071
Ohio,11798534,11761443,11764950,11808390
Oklahoma,3965243,3992760,4025327,4062716
Oregon,4243544,4254691,4245964,4250392
Pennsylvania,12995576,13016628,12984655,13009406
Rhode Island,1096487,1097381,1098275,1101183
South Carolina,5131992,5194346,5288957,5390798
South Dakota,887808,896303,909156,917739
Tennessee,6927736,6966687,7063325,7153029
Texas,29237895,29572672,30118002,30719247
Utah,3283970,3339874,3393928,3449259
Vermont,642965,647238,647614,647722
Virginia,8637303,8660007,8681038,8732034
Washington,7726812,7744316,7786828,7838655
West Virginia,1791670,1785921,1774003,1770036
Wisconsin,5897371,5882128,5903472,5930350
Wyoming,577669,579662,581742,584666
Puerto Rico,3281591,3262731,3220148,3203794
